Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20230629,0.44,0.52,0.76,0.019,0.0018,-0.0024,-0.009,-0.0088,-0.0072,-0.0172,-0.0214,-0.028,-0.0278,-0.0262
20230628,0.04,0.54,-0.42,0.019,0.0063,0.0038,0.0156,-0.0011,-0.0181,-0.0127,-0.0152,-0.0034,-0.0201,-0.0371
20230627,1.21,0.47,-0.52,0.019,0.0151,0.0182,-0.0001,0.0145,0.0306,-0.0039,-0.0008,-0.0191,-0.0045,0.0116
20230626,-0.48,-0.32,1.3,0.019,-0.0076,-0.0192,-0.0327,-0.0155,-0.0374,-0.0266,-0.0382,-0.0517,-0.0345,-0.0564
20230623,-0.84,-0.63,0.07,0.019,-0.0017,-0.0138,-0.0066,-0.0063,-0.019,-0.0207,-0.0328,-0.0256,-0.0253,-0.038
20230622,0.32,-0.67,-1.23,0.019,0.0165,0.0184,0.0216,0.0426,-0.0005,-0.0025,-0.0006,0.0026,0.0236,-0.0195
20230621,-0.56,0.03,0.54,0.019,-0.0057,-0.0133,-0.0207,-0.0076,-0.0174,-0.0247,-0.0323,-0.0397,-0.0266,-0.0364
20230620,-0.48,0.43,-0.66,0.019,0.0005,-0.0125,-0.0035,0.0023,0.0261,-0.0185,-0.0315,-0.0225,-0.0167,0.0071
20230616,-0.45,-0.55,0.21,0.019,-0.0059,-0.0166,-0.0125,-0.0127,0.0009,-0.0249,-0.0356,-0.0315,-0.0317,-0.0181
20230615,1.22,-0.35,0.06,0.019,0.0112,0.0319,0.0115,0.0055,-0.008,-0.0078,0.0129,-0.0075,-0.0135,-0.027
20230614,-0.04,-0.89,-0.92,0.019,0.0035,0.0091,-0.0013,-0.0019,0.0481,-0.0155,-0.0099,-0.0203,-0.0209,0.0291
